"Bevolking op 1 januari en gemiddeld; geslacht, leeftijd en regio"
""
""
"Regio's";"Gooise Meren";"'s-Gravenhage (gemeente)";"Leeuwarden";"Nijmegen";"Rotterdam"
"Onderwerp";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari"
"Burgerlijke staat";"Totaal burgerlijke staat";"Totaal burgerlijke staat";"Totaal burgerlijke staat";"Totaal burgerlijke staat";"Totaal burgerlijke staat"
"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"Leeftijd";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal"
"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal"
"2000";"";"441094";"88887";"152200";"592673"
"2001";"";"442356";"89453";"153705";"595255"
"2002";"";"457726";"90516";"154616";"598660"
"2003";"";"463826";"91284";"156198";"599651"
"2004";"";"469059";"91354";"157466";"598923"
"2005";"";"472096";"91749";"158215";"596407"
"2006";"";"475627";"91817";"159522";"588697"
"2007";"";"473941";"92342";"160907";"584058"
"2008";"";"475681";"92864";"161251";"582951"
"2009";"";"481864";"93498";"161817";"587134"
"2010";"";"488553";"94073";"162963";"593049"
"2011";"";"495083";"94838";"164223";"610386"
"2012";"";"502055";"95321";"165182";"616260"
"2013";"";"505856";"95949";"166382";"616294"
"2014";"";"508940";"107342";"168292";"618357"
"2015";"";"514861";"107691";"170681";"623652"
"2016";"56696";"519988";"107897";"172064";"629606"
"2017";"56935";"524882";"108667";"173556";"634660"
"2018";"57337";"532561";"122415";"175948";"638712"
"2019";"57715";"537833";"123107";"176731";"644618"
"2020";"58055";"545838";"124084";"177659";"651157"
"2021";"58524";"548320";"124481";"177359";"651631"
"2022";"58846";"553417";"125504";"179100";"655468"
"2023";"60341";"562839";"127073";"182480";"663900"
"2024";"60370";"566221";"128810";"187049";"670610"
"2025";"61003";"568945";"129973";"189007";"672960"
"Bron: CBS"
