"Bevolking; geslacht, leeftijd en burgerlijke staat, 1 januari"
"Geslacht: Totaal mannen en vrouwen"
"Burgerlijke staat: Totaal burgerlijke staat"
""
"Perioden";"2000";"2001";"2002";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Onderwerp";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal leeftijd";"15863950";"15987075";"16105285";"16258032";"16305526";"16334210";"16357992";"16405399";"16485787";"16574989";"16655799";"16730348";"16779575";"16829289";"16900726";"16979120";"17081507";"17181084";"17282163";"17407585";"17475415";"17590672";"17811291";"17942942";"18044027"
"16 jaar";"179766";"185472";"189757";"196517";"195245";"197082";"204730";"204250";"201494";"199628";"200285";"194931";"194631";"195990";"202135";"204436";"210291";"206878";"205638";"205420";"199394";"194719";"195515";"193881";"199338"
"17 jaar";"182445";"181570";"187642";"196136";"196608";"195317";"197088";"204971";"204621";"202124";"200266";"200903";"195365";"195068";"196758";"203669";"206389";"211820";"207992";"207149";"206527";"200939";"198118";"198235";"197173"
"18 jaar";"188880";"184444";"183888";"192758";"196833";"196835";"195474";"197693";"205908";"205851";"203609";"201817";"202655";"197496";"197661";"200001";"207779";"210774";"216614";"213523";"212171";"214061";"210913";"207754";"208251"
"19 jaar";"192730";"190907";"186885";"191132";"193533";"197034";"197177";"196645";"199436";"208005";"208127";"206167";"204625";"205742";"201205";"201917";"205296";"213786";"217469";"224489";"220073";"222912";"226443";"222160";"218025"
"20 jaar";"187565";"194546";"193014";"187072";"191739";"193847";"197397";"198534";"198920";"202046";"210871";"211103";"208934";"207385";"209201";"204819";"206679";"209792";"218315";"222532";"227053";"226197";"230693";"232911";"228142"
"21 jaar";"189708";"189491";"196798";"189846";"188024";"192308";"194090";"198833";"201112";"201972";"205310";"214084";"213451";"211267";"209863";"212265";"208519";"209892";"212979";"221651";"223141";"231493";"232405";"234702";"236053"
"22 jaar";"189010";"192012";"191963";"196364";"190898";"188814";"192980";"195373";"201497";"203875";"204957";"207969";"216024";"215454";"213499";"212818";"215345";"211308";"212854";"216297";"222345";"227225";"237418";"235887";"236829"
"23 jaar";"193046";"191214";"194708";"200299";"197482";"191763";"189525";"194383";"198198";"204344";"206741";"207550";"209614";"217472";"217379";"216388";"216378";"218557";"214501";"216448";"217581";"226996";"233818";"241807";"238851"
"24 jaar";"196557";"195428";"193873";"195282";"201209";"198012";"192043";"190634";"197132";"200673";"206850";"208831";"208664";"210731";"219090";"219656";"219322";"219232";"221276";"217657";"217366";"220974";"232929";"237633";"244701"
"25 jaar";"207499";"198711";"197832";"197651";"196029";"201640";"198016";"193264";"193216";"199358";"203001";"208615";"209413";"209096";"212104";"220839";"222186";"221643";"221595";"224513";"218668";"220818";"227429";"236931";"240402"
"26 jaar";"217020";"209514";"201074";"196484";"198202";"196171";"201543";"199093";"195383";"195138";"201019";"204603";"209021";"209877";"210333";"213760";"223461";"224418";"224138";"224987";"225920";"222029";"227241";"231798";"239685"
"27 jaar";"237654";"218952";"211547";"199787";"196699";"198191";"196122";"202251";"200982";"197116";"196389";"202224";"204965";"209590";"210997";"211787";"216058";"225619";"227080";"227651";"226583";"229261";"228636";"231331";"234791"
"28 jaar";"250846";"239346";"220810";"202499";"199726";"196522";"197902";"196597";"204156";"202329";"198034";"197300";"202444";"205460";"210699";"212374";"214126";"218319";"228156";"230336";"229437";"229982";"235632";"232810";"234134"
"29 jaar";"263252";"252298";"240831";"212780";"202271";"199351";"195894";"198501";"198236";"205414";"203095";"198569";"197547";"202755";"206541";"212242";"214256";"216158";"220894";"231478";"232334";"232416";"236061";"239614";"235362"
"30 jaar";"270961";"264709";"253643";"221564";"212370";"201765";"198682";"195896";"199377";"199242";"206217";"203581";"198869";"197746";"203637";"207828";"213919";"216233";"218629";"224067";"233373";"235174";"238136";"239580";"242037"
"31 jaar";"259811";"272017";"265876";"241002";"221127";"211717";"201079";"198645";"196957";"200345";"199742";"206679";"203362";"199082";"198397";"204685";"209457";"215503";"218397";"221567";"225767";"235817";"240472";"241346";"241878"
"32 jaar";"258129";"260868";"272821";"253454";"240362";"220354";"210806";"201048";"199327";"197734";"200663";"199959";"206593";"203473";"199731";"199525";"206225";"211127";"217522";"221012";"223130";"227912";"240847";"243530";"243394"
