"Bromfietsen actief; voertuigsoort, bouwjaar, leeftijd, regio, 1 januari"
"Bouwjaar: Totaal alle bouwjaren"
"";""
"";"Onderwerp";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Snorfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets";"Bromfiets"
"";"Tenaamstelling en leeftijd particulier";"Particulier";"Leeftijd: 16 tot 18 jaar";"Leeftijd: 18 tot 20 jaar";"Leeftijd: 20 tot 25 jaar";"Leeftijd: 25 tot 30 jaar";"Leeftijd: 30 tot 40 jaar";"Leeftijd: 40 tot 50 jaar";"Leeftijd: 50 tot 60 jaar";"Leeftijd: 60 tot 65 jaar";"Leeftijd: 65 jaar of ouder";"Particulier";"Leeftijd: 16 tot 18 jaar";"Leeftijd: 18 tot 20 jaar";"Leeftijd: 20 tot 25 jaar";"Leeftijd: 25 tot 30 jaar";"Leeftijd: 30 tot 40 jaar";"Leeftijd: 40 tot 50 jaar";"Leeftijd: 50 tot 60 jaar";"Leeftijd: 60 tot 65 jaar";"Leeftijd: 65 jaar of ouder"
"Perioden";"Provincie";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"2019";"Nederland";"700884";"7852";"15985";"55801";"65015";"98654";"134604";"166571";"56958";"99444";"376545";"8039";"12483";"28202";"31141";"51987";"73193";"95941";"31501";"44058"
"2020";"Nederland";"711487";"8019";"16690";"57020";"65501";"101457";"132461";"171561";"58020";"100758";"376770";"8490";"12544";"27757";"29604";"50988";"71226";"97049";"32400";"46712"
"2021";"Nederland";"740277";"7524";"18522";"64974";"67808";"107415";"134044";"178642";"59286";"102062";"381036";"8002";"13356";"29948";"28109";"51283";"69954";"98614";"33095";"48675"
"2022";"Nederland";"751913";"6988";"18868";"69275";"67631";"111136";"132925";"181368";"60905";"102817";"387696";"7736";"13953";"32178";"27385";"51605";"69155";"100481";"34396";"50807"
"2023";"Nederland";"732259";"7685";"17211";"67060";"63711";"110583";"127120";"174703";"61009";"103177";"415160";"11037";"14688";"35042";"27773";"54404";"73189";"107362";"36950";"54715"
"2024";"Nederland";"640599";"5924";"13161";"54662";"53919";"97344";"109033";"151392";"57140";"98024";"469960";"14342";"18170";"40938";"30265";"59223";"84031";"120711";"41698";"60582"
"2025";"Nederland";"572775";"4309";"10695";"44871";"47639";"87224";"97154";"132169";"54514";"94200";"497491";"14874";"20623";"43236";"31924";"60664";"90083";"125903";"44646";"65538"
"Bron: CBS"
