Jaar,Aantal,Type,Leeftijdscategorie
2019,7852.0,Snorfiets,16 tot 18 jaar
2020,8019.0,Snorfiets,16 tot 18 jaar
2021,7524.0,Snorfiets,16 tot 18 jaar
2022,6988.0,Snorfiets,16 tot 18 jaar
2023,7685.0,Snorfiets,16 tot 18 jaar
2024,5924.0,Snorfiets,16 tot 18 jaar
2025,4309.0,Snorfiets,16 tot 18 jaar
2019,15985.0,Snorfiets,18 tot 20 jaar
2020,16690.0,Snorfiets,18 tot 20 jaar
2021,18522.0,Snorfiets,18 tot 20 jaar
2022,18868.0,Snorfiets,18 tot 20 jaar
2023,17211.0,Snorfiets,18 tot 20 jaar
2024,13161.0,Snorfiets,18 tot 20 jaar
2025,10695.0,Snorfiets,18 tot 20 jaar
2019,55801.0,Snorfiets,20 tot 25 jaar
2020,57020.0,Snorfiets,20 tot 25 jaar
2021,64974.0,Snorfiets,20 tot 25 jaar
2022,69275.0,Snorfiets,20 tot 25 jaar
2023,67060.0,Snorfiets,20 tot 25 jaar
2024,54662.0,Snorfiets,20 tot 25 jaar
2025,44871.0,Snorfiets,20 tot 25 jaar
2019,65015.0,Snorfiets,25 tot 30 jaar
2020,65501.0,Snorfiets,25 tot 30 jaar
2021,67808.0,Snorfiets,25 tot 30 jaar
2022,67631.0,Snorfiets,25 tot 30 jaar
2023,63711.0,Snorfiets,25 tot 30 jaar
2024,53919.0,Snorfiets,25 tot 30 jaar
2025,47639.0,Snorfiets,25 tot 30 jaar
2019,98654.0,Snorfiets,30 tot 40 jaar
2020,101457.0,Snorfiets,30 tot 40 jaar
2021,107415.0,Snorfiets,30 tot 40 jaar
2022,111136.0,Snorfiets,30 tot 40 jaar
2023,110583.0,Snorfiets,30 tot 40 jaar
2024,97344.0,Snorfiets,30 tot 40 jaar
2025,87224.0,Snorfiets,30 tot 40 jaar
2019,134604.0,Snorfiets,40 tot 50 jaar
2020,132461.0,Snorfiets,40 tot 50 jaar
2021,134044.0,Snorfiets,40 tot 50 jaar
2022,132925.0,Snorfiets,40 tot 50 jaar
2023,127120.0,Snorfiets,40 tot 50 jaar
2024,109033.0,Snorfiets,40 tot 50 jaar
2025,97154.0,Snorfiets,40 tot 50 jaar
2019,166571.0,Snorfiets,50 tot 60 jaar
2020,171561.0,Snorfiets,50 tot 60 jaar
2021,178642.0,Snorfiets,50 tot 60 jaar
2022,181368.0,Snorfiets,50 tot 60 jaar
2023,174703.0,Snorfiets,50 tot 60 jaar
2024,151392.0,Snorfiets,50 tot 60 jaar
2025,132169.0,Snorfiets,50 tot 60 jaar
2019,56958.0,Snorfiets,60 tot 65 jaar
2020,58020.0,Snorfiets,60 tot 65 jaar
2021,59286.0,Snorfiets,60 tot 65 jaar
2022,60905.0,Snorfiets,60 tot 65 jaar
2023,61009.0,Snorfiets,60 tot 65 jaar
2024,57140.0,Snorfiets,60 tot 65 jaar
2025,54514.0,Snorfiets,60 tot 65 jaar
2019,99444.0,Snorfiets,65 jaar of ouder
2020,100758.0,Snorfiets,65 jaar of ouder
2021,102062.0,Snorfiets,65 jaar of ouder
2022,102817.0,Snorfiets,65 jaar of ouder
2023,103177.0,Snorfiets,65 jaar of ouder
2024,98024.0,Snorfiets,65 jaar of ouder
2025,94200.0,Snorfiets,65 jaar of ouder
2019,8039.0,Bromfiets,16 tot 18 jaar
2020,8490.0,Bromfiets,16 tot 18 jaar
2021,8002.0,Bromfiets,16 tot 18 jaar
2022,7736.0,Bromfiets,16 tot 18 jaar
2023,11037.0,Bromfiets,16 tot 18 jaar
2024,14342.0,Bromfiets,16 tot 18 jaar
2025,14874.0,Bromfiets,16 tot 18 jaar
2019,12483.0,Bromfiets,18 tot 20 jaar
2020,12544.0,Bromfiets,18 tot 20 jaar
2021,13356.0,Bromfiets,18 tot 20 jaar
2022,13953.0,Bromfiets,18 tot 20 jaar
2023,14688.0,Bromfiets,18 tot 20 jaar
2024,18170.0,Bromfiets,18 tot 20 jaar
2025,20623.0,Bromfiets,18 tot 20 jaar
2019,28202.0,Bromfiets,20 tot 25 jaar
2020,27757.0,Bromfiets,20 tot 25 jaar
2021,29948.0,Bromfiets,20 tot 25 jaar
2022,32178.0,Bromfiets,20 tot 25 jaar
2023,35042.0,Bromfiets,20 tot 25 jaar
2024,40938.0,Bromfiets,20 tot 25 jaar
2025,43236.0,Bromfiets,20 tot 25 jaar
2019,31141.0,Bromfiets,25 tot 30 jaar
2020,29604.0,Bromfiets,25 tot 30 jaar
2021,28109.0,Bromfiets,25 tot 30 jaar
2022,27385.0,Bromfiets,25 tot 30 jaar
2023,27773.0,Bromfiets,25 tot 30 jaar
2024,30265.0,Bromfiets,25 tot 30 jaar
2025,31924.0,Bromfiets,25 tot 30 jaar
2019,51987.0,Bromfiets,30 tot 40 jaar
2020,50988.0,Bromfiets,30 tot 40 jaar
2021,51283.0,Bromfiets,30 tot 40 jaar
2022,51605.0,Bromfiets,30 tot 40 jaar
2023,54404.0,Bromfiets,30 tot 40 jaar
2024,59223.0,Bromfiets,30 tot 40 jaar
2025,60664.0,Bromfiets,30 tot 40 jaar
2019,73193.0,Bromfiets,40 tot 50 jaar
2020,71226.0,Bromfiets,40 tot 50 jaar
2021,69954.0,Bromfiets,40 tot 50 jaar
2022,69155.0,Bromfiets,40 tot 50 jaar
2023,73189.0,Bromfiets,40 tot 50 jaar
2024,84031.0,Bromfiets,40 tot 50 jaar
2025,90083.0,Bromfiets,40 tot 50 jaar
2019,95941.0,Bromfiets,50 tot 60 jaar
2020,97049.0,Bromfiets,50 tot 60 jaar
2021,98614.0,Bromfiets,50 tot 60 jaar
2022,100481.0,Bromfiets,50 tot 60 jaar
2023,107362.0,Bromfiets,50 tot 60 jaar
2024,120711.0,Bromfiets,50 tot 60 jaar
2025,125903.0,Bromfiets,50 tot 60 jaar
2019,31501.0,Bromfiets,60 tot 65 jaar
2020,32400.0,Bromfiets,60 tot 65 jaar
2021,33095.0,Bromfiets,60 tot 65 jaar
2022,34396.0,Bromfiets,60 tot 65 jaar
2023,36950.0,Bromfiets,60 tot 65 jaar
2024,41698.0,Bromfiets,60 tot 65 jaar
2025,44646.0,Bromfiets,60 tot 65 jaar
2019,44058.0,Bromfiets,65 jaar of ouder
2020,46712.0,Bromfiets,65 jaar of ouder
2021,48675.0,Bromfiets,65 jaar of ouder
2022,50807.0,Bromfiets,65 jaar of ouder
2023,54715.0,Bromfiets,65 jaar of ouder
2024,60582.0,Bromfiets,65 jaar of ouder
2025,65538.0,Bromfiets,65 jaar of ouder
